Reviews,Outputs
"I tried to update the app to the latest version, but it was a disaster. The update process froze multiple times and eventually corrupted the app, making it unusable. I had to uninstall and reinstall it, losing all my saved data in the process. The new version also has more bugs than the old one. Completely unacceptable.","[{'update process froze': ['update the app']}, {'app corrupted': ['update the app']}, {'lost saved data': ['reinstall the app']}, {'new version has more bugs': ['use the updated app']}]"
"Attempting to log my sleep data with this app was a nightmare. The app was slow to open and kept crashing when I tried to enter my sleep hours. When it finally worked, the data wasn't saved correctly and showed inaccurate sleep times. Syncing with my smartwatch was also problematic. Not worth the hassle.","[{'app slow to open': ['log sleep data']}, {'app crashed': ['enter sleep hours']}, {'data not saved correctly': ['log sleep data']}, {'inaccurate sleep times': ['log sleep data']}, {'syncing with smartwatch problematic': ['log sleep data']}]"
"I tried to pay for parking using this app, and it was an infuriating experience. The app took forever to load my location and then wouldn't accept my payment method, saying it was invalid. After multiple attempts, it finally went through, but the parking session wasn't activated, and I received a fine. Customer support was no help at all. Never using this app again.","[{'app took forever to load location': ['pay for parking']}, {'payment method invalid': ['pay for parking']}, {'parking session not activated': ['pay for parking']}, {'received a fine': ['pay for parking']}, {'customer support no help': ['pay for parking']}]"
"I attempted to use the app to track my package delivery, but it was useless. The app was extremely slow to load the tracking information, and when it did, it was outdated and incorrect. The app crashed several times while I was trying to refresh the tracking info. I ended up having to call customer service to get accurate information. Very frustrating.","[{'app slow to load tracking information': ['track package delivery']}, {'outdated and incorrect tracking information': ['track package delivery']}, {'app crashed': ['refresh tracking info']}, {'had to call customer service': ['track package delivery']}]"
"Attempting to reset my password was a nightmare. The app constantly gave me an 'error' message when I tried to submit my new password. When it finally accepted a password, the confirmation email never arrived. I tried logging in with the new password, but it didn't work. Customer support was useless and kept telling me to try the same steps over and over.","[{'error message': ['reset my password']}, {'confirmation email never arrived': ['reset my password']}, {""new password didn't work"": ['reset my password']}, {'customer support was useless': ['reset my password']}]"
"Downloading music using this app was incredibly frustrating. The app was slow to load my library and frequently crashed when I tried to add songs to my playlist. When I finally managed to download a few songs, they wouldn't play offline. I had to redownload them multiple times, and they still wouldn't work properly. Terrible experience.","[{'app slow to load library': ['download music']}, {'app crashed': ['add songs to playlist']}, {""songs wouldn't play offline"": ['download music']}, {'had to redownload multiple times': ['download music']}]"
"I tried to use the app to order groceries, and it was a complete mess. The app was slow and unresponsive while browsing items. Several items in my cart were suddenly marked as unavailable at checkout, even though they were listed as in stock. After finally placing the order, the delivery status kept showing errors, and I never received my groceries. Horrible service.","[{'app slow and unresponsive': ['order groceries']}, {'items marked as unavailable at checkout': ['order groceries']}, {'delivery status showing errors': ['place order']}, {'never received groceries': ['order groceries']}]"
"Signing up for a gym membership through this app was a disaster. The app crashed multiple times during the signup process and lost all my information. When I finally got through, the payment screen glitched and double-charged me. Customer support has been unresponsive, and I'm now stuck with two charges for one membership.","[{'app crashed': ['sign up for a gym membership']}, {'lost all information': ['sign up for a gym membership']}, {'payment screen glitched': ['sign up for a gym membership']}, {'double-charged': ['sign up for a gym membership']}, {'customer support unresponsive': ['sign up for a gym membership']}]"
"Trying to book a doctor's appointment was infuriating. The app kept giving me errors when I selected available times. When I finally got an appointment confirmed, the app crashed and lost the booking. I had to start over, and the same thing happened again. Eventually, I had to call the clinic directly. Very frustrating.","[{'errors when selecting available times': [""book a doctor's appointment""]}, {'app crashed and lost booking': [""book a doctor's appointment""]}, {'had to call the clinic directly': [""book a doctor's appointment""]}]"
"I tried to use the app to check in for my flight, and it was a terrible experience. The app was extremely slow to load my booking details, and when it finally did, it wouldn't let me select my seat. After multiple attempts, I got an error message saying check-in was unavailable. I ended up having to check in at the airport. A waste of time.","[{'app slow to load booking details': ['check in for my flight']}, {""wouldn't let me select my seat"": ['check in for my flight']}, {'error message': ['check in for my flight']}, {'had to check in at the airport': ['check in for my flight']}]"
"Managing my subscriptions with this app is a nightmare. The app often freezes when I try to update my payment information. When it finally goes through, it sometimes processes the update incorrectly, leading to failed payments. Additionally, it doesn't notify me of upcoming renewals, causing unexpected charges. Completely unreliable.","[{'app freezes': ['update payment information']}, {'processed update incorrectly': ['update payment information']}, {'failed payments': ['update payment information']}, {'no notifications for renewals': ['manage subscriptions']}, {'unexpected charges': ['manage subscriptions']}]"
"I tried to use this app to monitor my home's security cameras, but it's terrible. The app crashes frequently, and the live feed is often delayed or fails to load. Motion alerts are unreliable, sometimes not triggering at all. Overall, it fails at its primary function and makes me feel less secure.","[{'app crashes frequently': ['monitor security cameras']}, {'live feed delayed or fails to load': ['monitor security cameras']}, {'motion alerts unreliable': ['monitor security cameras']}, {'fails at primary function': ['monitor security cameras']}]"
"I tried to use the app to schedule a maintenance appointment for my car, and it was awful. The app was slow to load available dates, and when I selected a time, it gave me an error message. After multiple tries, I got a confirmation, but the appointment never appeared in the app. I had to call the service center directly. Very inefficient.","[{'app slow to load dates': ['schedule a maintenance appointment']}, {'error message': ['schedule a maintenance appointment']}, {'appointment never appeared in app': ['schedule a maintenance appointment']}, {'had to call service center directly': ['schedule a maintenance appointment']}]"
"Attempting to join a virtual class using this app was a frustrating experience. The app frequently disconnected from the internet, and when it stayed connected, the video quality was poor and laggy. Additionally, the audio would cut out randomly, making it hard to follow along. I missed most of the class due to these issues. Very disappointing.","[{'app frequently disconnected': ['join a virtual class']}, {'poor video quality': ['join a virtual class']}, {'audio cut out randomly': ['join a virtual class']}, {'missed most of the class': ['join a virtual class']}]"
"Using this app to order food was a complete disaster. The app was slow to load the menu items, and when I finally selected my order, it crashed during checkout. After reopening the app, my cart was empty, and I had to start over. Once I managed to place the order, the delivery was late, and some items were missing. Customer service was unresponsive, and I never got a refund for the missing items.","[{'app slow to load menu items': ['order food']}, {'app crashed during checkout': ['order food']}, {'cart emptied after app restart': ['order food']}, {'delivery late, items missing': ['order food']}, {'customer service unresponsive': ['order food']}]"
"I tried to use this app to apply for a loan, and it was a frustrating experience. The app kept giving me errors during the application process, and when I finally completed it, there was no confirmation. I tried checking my application status, but the app crashed every time I tried to access it. I never got any updates on my loan status, and customer support couldn't help either.","[{'app gave errors during application process': ['apply for a loan']}, {'no confirmation after completing application': ['apply for a loan']}, {'app crashed when checking application status': ['apply for a loan']}, {'no updates on loan status': ['apply for a loan']}, {""customer support couldn't help"": ['apply for a loan']}]"
"Using this app to track my expenses was a nightmare. The app frequently froze when I tried to input transactions, and sometimes it would duplicate entries without warning. When I tried to generate a monthly report, the app crashed, and I lost all my progress. I had to manually input everything again, defeating the purpose of using the app in the first place.","[{'app froze when inputting transactions': ['track expenses']}, {'duplicated entries without warning': ['track expenses']}, {'app crashed when generating report': ['track expenses']}, {'lost progress after app crash': ['track expenses']}]"
"I attempted to use this app to find a job, but it was a waste of time. The app was slow to load job listings, and when I applied to a few, I never got any confirmation emails. I tried checking my application status, but the app crashed every time I tried to access it. After weeks of waiting, I never heard back from any of the companies. Very disappointing.","[{'app slow to load job listings': ['find a job']}, {'no confirmation emails after applying': ['find a job']}, {'app crashed when checking application status': ['find a job']}, {'no response from companies': ['find a job']}]"
"I tried to use this app to book a vacation package, but it was a complete disaster. The app was slow and unresponsive, and when I finally selected a package, it crashed during checkout. After restarting the app, I found that my booking was lost, and I had to start over. When I finally managed to complete the booking, I received multiple confirmations for the same trip, each with different details. It took weeks to resolve the issue with customer support.","[{'app slow and unresponsive': ['book a vacation package']}, {'app crashed during checkout': ['book a vacation package']}, {'booking lost after app restart': ['book a vacation package']}, {'multiple confirmations for same trip': ['book a vacation package']}, {'weeks to resolve issue with customer support': ['book a vacation package']}]"
"Using this app to pay my bills was a frustrating experience. The app frequently crashed when I tried to add new payees, and sometimes it would log me out randomly. When I finally managed to add a payee and make a payment, the app didn't update my account balance correctly. I had to call customer support to confirm the payment went through, and they were unable to provide any assistance.","[{'app crashed when adding new payees': ['pay bills']}, {'app logged out randomly': ['pay bills']}, {""app didn't update account balance correctly"": ['pay bills']}, {'customer support unable to assist': ['pay bills']}]"
"I attempted to use this app to file my taxes, but it was a complete disaster. The app was slow and glitchy, and it frequently crashed during the data entry process. When I finally managed to input all my information, the app gave me an error message saying my return couldn't be processed. I tried contacting customer support, but they were unresponsive. I ended up filing my taxes manually.","[{'app slow and glitchy': ['file taxes']}, {'app crashed during data entry': ['file taxes']}, {""return couldn't be processed"": ['file taxes']}, {'customer support unresponsive': ['file taxes']}]"
"Using this app to order clothes online was a terrible experience. The app was slow to load product images, and sometimes it would show items as available when they were out of stock. When I finally managed to place an order, the app crashed during checkout, and I had to restart the process. After completing the order, I never received a confirmation email, and my order never arrived. Customer support was useless.","[{'app slow to load product images': ['order clothes online']}, {'items shown as available when out of stock': ['order clothes online']}, {'app crashed during checkout': ['order clothes online']}, {'no confirmation email, order never arrived': ['order clothes online']}, {'customer support useless': ['order clothes online']}]"
"I tried to use this app to track my investments, but it was a nightmare. The app frequently crashed when I tried to view my portfolio, and sometimes it would show incorrect balances. When I tried to execute a trade, the app would freeze, and I had to restart it. After several failed attempts, I gave up and switched to a different investment tracking app.","[{'app crashed when viewing portfolio': ['track investments']}, {'incorrect balances shown': ['track investments']}, {'app froze when executing trade': ['track investments']}, {'switched to different investment tracking app': ['track investments']}]"
"Using this app to book a restaurant reservation was a frustrating experience. The app was slow to load available times, and sometimes it would show times as available when they were fully booked. When I finally managed to make a reservation, the app crashed, and my booking was lost. I had to call the restaurant directly to confirm my reservation, and they had no record of it.","[{'app slow to load available times': ['book a restaurant reservation']}, {'times shown as available when fully booked': ['book a restaurant reservation']}, {'app crashed, booking lost': ['book a restaurant reservation']}, {'restaurant had no record of reservation': ['book a restaurant reservation']}]"
"Trying to use this app to schedule a home repair was a nightmare. It was slow to load available appointment slots, and when I finally found one, the app crashed during confirmation. After restarting, my booking was lost, and I had to repeat the process. To make matters worse, customer support was unresponsive when I tried to get assistance.","[{'slow to load available appointment slots': ['schedule a home repair']}, {'app crashed during confirmation': ['schedule a home repair']}, {'booking lost after app restart': ['schedule a home repair']}, {'customer support unresponsive': ['schedule a home repair']}]"
"I attempted to use this app to order a birthday cake, but it was a disaster. The app was sluggish when browsing cake designs, and it frequently froze during checkout. After finally completing the order, the app crashed, and my payment was not processed. Despite multiple attempts to contact customer service, I received no response.","[{'sluggish when browsing cake designs': ['order a birthday cake']}, {'app froze during checkout': ['order a birthday cake']}, {'payment not processed after app crash': ['order a birthday cake']}, {'no response from customer service': ['order a birthday cake']}]"
"Using this app to find a tutor for my child was a frustrating experience. It was slow to load available tutors, and sometimes it would show tutors as available when they were fully booked. When I finally managed to book a session, the app crashed, and my booking was lost. I had to call the tutoring center directly to schedule a session.","[{'slow to load available tutors': ['find a tutor']}, {'tutors shown as available when fully booked': ['find a tutor']}, {'booking lost after app crash': ['find a tutor']}, {'had to schedule session directly with tutoring center': ['find a tutor']}]"
"I tried to use this app to track my medication, but it was a total letdown. It frequently crashed when I tried to input my doses, and sometimes it would delete entries without warning. When I tried to set reminders for my medication, the app froze, and the reminders were not set. I ended up missing doses because of the app's unreliability.","[{'app crashed when inputting doses': ['track medication']}, {'entries deleted without warning': ['track medication']}, {'app froze when setting reminders': ['track medication']}, {""missed doses due to app's unreliability"": ['track medication']}]"
"Using this app to find a dog walker was a nightmare. It was slow to load available walkers, and sometimes it would show walkers as available when they were not. When I finally managed to book a walk, the app crashed, and my booking was lost. I had to find a walker through other means due to the app's incompetence.","[{'slow to load available walkers': ['find a dog walker']}, {'walkers shown as available when they were not': ['find a dog walker']}, {'booking lost after app crash': ['find a dog walker']}, {'had to find walker through other means': ['find a dog walker']}]"
"I attempted to use this app to order a meal delivery, but it was a complete mess. It was slow to load available restaurants, and sometimes it would show places as open when they were closed. After finally placing an order, the app crashed during checkout, and my order was lost. Customer support was unable to assist in resolving the issue.","[{'slow to load available restaurants': ['order meal delivery']}, {'places shown as open when they were closed': ['order meal delivery']}, {'app crashed during checkout': ['order meal delivery']}, {'order lost after app crash': ['order meal delivery']}, {'customer support unable to assist': ['order meal delivery']}]"
"Trying to use this app to book a rental car was a nightmare. It was slow to load available vehicles, and sometimes it would show cars as available when they were not. When I finally managed to book a car, the app crashed, and my booking was lost. I had to call the rental company directly to secure a reservation.","[{'slow to load available vehicles': ['book a rental car']}, {'cars shown as available when they were not': ['book a rental car']}, {'booking lost after app crash': ['book a rental car']}, {'had to secure reservation directly with rental company': ['book a rental car']}]"
"I tried to use this app to order groceries, but it was a total disaster. It was slow to load available items, and sometimes it would show products as available when they were out of stock. After finally completing my order, the app crashed, and my cart was emptied. I had to start over, wasting valuable time.","[{'slow to load available items': ['order groceries']}, {'products shown as available when out of stock': ['order groceries']}, {'app crashed after completing order': ['order groceries']}, {'cart emptied after app crash': ['order groceries']}]"
"Using this app to find a plumber was a frustrating experience. It was slow to load available plumbers, and sometimes it would show plumbers as available when they were fully booked. After finally scheduling a service, the app crashed, and my booking was lost. I had to call the plumbing company directly to schedule an appointment.","[{'slow to load available plumbers': ['find a plumber']}, {'plumbers shown as available when fully booked': ['find a plumber']}, {'booking lost after app crash': ['find a plumber']}, {'had to schedule appointment directly with plumbing company': ['find a plumber']}]"
"I attempted to use this app to pay my utility bills, but it was a disaster. It was slow to load available billers, and sometimes it would log me out unexpectedly. After finally managing to add a biller and make a payment, the app crashed, and the payment was not processed. I had to use another method to pay my bills.","[{'slow to load available billers': ['pay utility bills']}, {'app logged out unexpectedly': ['pay utility bills']}, {'payment not processed after app crash': ['pay utility bills']}, {'had to use another method to pay bills': ['pay utility bills']}]"
